time (epoch),weight (kg)
1480769100.0,59.97
1480770000.0,59.96
1480770900.0,59.97
1480771800.0,59.97
1480772700.0,59.97
1480773600.0,59.97
1480774500.0,59.98
1480775400.0,59.98
1480776300.0,59.98
1480777200.0,59.98
1480778100.0,59.99
1480779000.0,59.99
1480779900.0,59.99
1480780800.0,60.0
1480781700.0,59.99
1480782600.0,60.01
1480783500.0,60.01
1480784400.0,60.01
1480785300.0,60.01
1480786200.0,60.01
1480787100.0,60.01
1480788000.0,60.01
1480788900.0,60.01
1480789800.0,60.02
1480790700.0,60.02
1480791600.0,60.01
1480792500.0,60.02
1480793400.0,60.02
1480794300.0,60.01
1480795200.0,60.0
1480796100.0,60.01
1480797000.0,60.01
1480797900.0,60.0
1480798800.0,59.99
1480799700.0,60.0
1480800600.0,59.99
1480801500.0,59.98
1480802400.0,59.97
1480803300.0,59.97
1480804200.0,59.98
1480805100.0,59.97
1480806000.0,59.97
1480806900.0,59.96
1480807800.0,59.95
1480808700.0,59.95
1480809600.0,59.96
1480810500.0,59.95
1480811400.0,59.94
1480812300.0,59.94
1480813200.0,59.94
1480814100.0,59.93
1480815000.0,59.94
1480815900.0,59.93
1480816800.0,59.93
1480817700.0,59.93
1480818600.0,59.94
1480819500.0,59.95
1480820400.0,59.94
1480821300.0,59.95
1480822200.0,59.94
1480823100.0,59.95
1480824000.0,59.94
1480824900.0,59.94
1480825800.0,59.95
1480826700.0,59.95
1480827600.0,59.94
1480828500.0,59.95
1480829400.0,59.94
1480830300.0,59.94
1480831200.0,59.95
1480832100.0,59.94
1480833000.0,59.94
1480833900.0,59.93
1480834800.0,59.94
1480835700.0,59.93
1480836600.0,59.93
1480837500.0,59.93
1480838400.0,59.93
1480839300.0,59.94
1480840200.0,59.94
1480841100.0,59.95
1480842000.0,59.94
1480842900.0,59.94
1480843800.0,59.94
1480844700.0,59.95
1480845600.0,59.95
1480846500.0,59.95
1480847400.0,59.96
1480848300.0,59.96
1480849200.0,59.96
1480850100.0,59.96
1480851000.0,59.96
1480851900.0,59.96
1480852800.0,59.96
1480853700.0,59.95
1480854600.0,59.95
1480855500.0,59.97
1480856400.0,59.97
1480857300.0,59.97
1480858200.0,59.98
1480859100.0,59.98
1480860000.0,59.99
1480860900.0,59.99
1480861800.0,59.99
1480862700.0,59.99
1480863600.0,59.99
1480864500.0,59.99
1480865400.0,60.0
1480866300.0,60.02
1480867200.0,60.02
1480868100.0,60.03
1480869000.0,60.01
1480869900.0,60.04
1480870800.0,60.04
1480871700.0,60.06
1480872600.0,60.04
1480873500.0,60.03
1480874400.0,60.07
1480875300.0,60.09
1480876200.0,60.09
1480877100.0,60.08
1480878000.0,60.07
1480878900.0,60.06
1480879800.0,60.1
1480880700.0,60.22
1480881600.0,60.34
1480882500.0,60.43
1480883400.0,60.58
1480884300.0,60.64
1480885200.0,60.79
1480886100.0,60.93
1480887000.0,60.99
1480887900.0,61.07
1480888800.0,61.16
1480889700.0,61.24
1480890600.0,61.36
1480891500.0,61.45
1480892400.0,61.52
1480893300.0,61.57
1480894200.0,61.69
1480895100.0,61.8
1480896000.0,61.9
1480896900.0,61.97
1480897800.0,62.03
1480898700.0,62.1
1480899600.0,62.2
1480900500.0,62.28
1480901400.0,62.34
1480902300.0,62.37
1480903200.0,62.41
1480904100.0,62.47
1480905000.0,62.52
1480905900.0,62.54
1480906800.0,62.56
1480907700.0,62.57
1480908600.0,62.58
1480909500.0,62.59
1480910400.0,62.6
1480911300.0,62.6
1480912200.0,62.6
1480913100.0,62.63
1480914000.0,62.66
1480914900.0,62.72
1480915800.0,62.7
1480916700.0,62.69
1480917600.0,62.68
1480918500.0,62.68
1480919400.0,62.66
1480920300.0,62.77
1480921200.0,62.85
1480922100.0,62.82
1480923000.0,62.82
1480923900.0,62.8
1480924800.0,62.78
1480925700.0,62.74
1480926600.0,62.71
1480927500.0,62.68
1480928400.0,62.33
1480929300.0,62.31
1480930200.0,62.23
1480931100.0,62.21
1480932000.0,62.17
1480932900.0,62.14
1480933800.0,62.08
1480934700.0,62.04
1480935600.0,61.98
1480936500.0,61.94
1480937400.0,61.88
1480938300.0,61.79
